0|id|integer|0||1
1|run|text|0||0
2|visit|int|0||0
3|filter|text|0||0
4|date|text|0||0
5|dateObs|text|0||0
6|expTime|double|0||0
7|raftName|text|0||0
8|detectorName|text|0||0
9|detector|int|0||0
10|snap|int|0||0
11|object|text|0||0
12|imageType|text|0||0
13|testType|text|0||0
14|lsstSerial|text|0||0
15|wavelength|int|0||0
16|controller|text|0||0
17|obsid|text|0||0
60|13151|3021120901676|unknown|2021-12-10T06:50:43.394|2021-12-10T06:50:43.394|0.0|R14|S12|68|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-190|-666|C|MC_C_20211209_001676|3021120901676|3021120901676|2021-12-09|1676
61|13151|3021120901676|unknown|2021-12-10T06:50:43.394|2021-12-10T06:50:43.394|0.0|R14|S20|69|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-211|-666|C|MC_C_20211209_001676|3021120901676|3021120901676|2021-12-09|1676
62|13151|3021120901676|unknown|2021-12-10T06:50:43.394|2021-12-10T06:50:43.394|0.0|R14|S21|70|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-192|-666|C|MC_C_20211209_001676|3021120901676|3021120901676|2021-12-09|1676
63|13151|3021120901676|unknown|2021-12-10T06:50:43.394|2021-12-10T06:50:43.394|0.0|R14|S22|71|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-217|-666|C|MC_C_20211209_001676|3021120901676|3021120901676|2021-12-09|1676
64|13151|3021120901677|unknown|2021-12-10T06:51:14.172|2021-12-10T06:51:14.172|0.0|R14|S00|63|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-229|-666|C|MC_C_20211209_001677|3021120901677|3021120901677|2021-12-09|1677
65|13151|3021120901677|unknown|2021-12-10T06:51:14.172|2021-12-10T06:51:14.172|0.0|R14|S01|64|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-225|-666|C|MC_C_20211209_001677|3021120901677|3021120901677|2021-12-09|1677
66|13151|3021120901677|unknown|2021-12-10T06:51:14.172|2021-12-10T06:51:14.172|0.0|R14|S02|65|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-141|-666|C|MC_C_20211209_001677|3021120901677|3021120901677|2021-12-09|1677
67|13151|3021120901677|unknown|2021-12-10T06:51:14.172|2021-12-10T06:51:14.172|0.0|R14|S10|66|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-221|-666|C|MC_C_20211209_001677|3021120901677|3021120901677|2021-12-09|1677
68|13151|3021120901677|unknown|2021-12-10T06:51:14.172|2021-12-10T06:51:14.172|0.0|R14|S11|67|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-131|-666|C|MC_C_20211209_001677|3021120901677|3021120901677|2021-12-09|1677
69|13151|3021120901677|unknown|2021-12-10T06:51:14.172|2021-12-10T06:51:14.172|0.0|R14|S12|68|0|UNKNOWN|BIAS|BIAS|E2V-CCD250-190|-666|C|MC_C_20211209_001677|3021120901677|3021120901677|2021-12-09|1677
